Step,Id,Command,X-R-L,Y-G,Z-B,Yaw-Intensity,Duration
480,1,Goto,0.0,-0.6,1.5,0.0,0.042
481,0,Goto,0.0,0.599,1.469,0.0,0.042
481,1,Goto,0.0,-0.599,1.531,0.0,0.042
482,0,Goto,0.0,0.597,1.437,0.0,0.042
482,1,Goto,0.0,-0.597,1.563,0.0,0.042
483,0,Goto,0.0,0.593,1.406,0.0,0.042
483,1,Goto,0.0,-0.593,1.594,0.0,0.042
484,0,Goto,0.0,0.587,1.375,0.0,0.042
484,1,Goto,0.0,-0.587,1.625,0.0,0.042
485,0,Goto,0.0,0.58,1.345,0.0,0.042
485,1,Goto,0.0,-0.58,1.655,0.0,0.042
486,0,Goto,0.0,0.571,1.315,0.0,0.042
486,1,Goto,0.0,-0.571,1.685,0.0,0.042
487,0,Goto,0.0,0.56,1.285,0.0,0.042
487,1,Goto,0.0,-0.56,1.715,0.0,0.042
488,0,Goto,0.0,0.548,1.256,0.0,0.042
488,1,Goto,0.0,-0.548,1.744,0.0,0.042
489,0,Goto,0.0,0.535,1.228,0.0,0.042
489,1,Goto,0.0,-0.535,1.772,0.0,0.042
490,0,Goto,0.0,0.52,1.2,0.0,0.042
490,1,Goto,0.0,-0.52,1.8,0.0,0.042
491,0,Goto,0.0,0.503,1.173,0.0,0.042
491,1,Goto,0.0,-0.503,1.827,0.0,0.042
492,0,Goto,0.0,0.485,1.147,0.0,0.042
492,1,Goto,0.0,-0.485,1.853,0.0,0.042
493,0,Goto,0.0,0.466,1.122,0.0,0.042
493,1,Goto,0.0,-0.466,1.878,0.0,0.042
494,0,Goto,0.0,0.446,1.099,0.0,0.042
494,1,Goto,0.0,-0.446,1.901,0.0,0.042
495,0,Goto,0.0,0.424,1.076,0.0,0.042
495,1,Goto,0.0,-0.424,1.924,0.0,0.042
496,0,Goto,0.0,0.401,1.054,0.0,0.042
496,1,Goto,0.0,-0.401,1.946,0.0,0.042
497,0,Goto,0.0,0.378,1.034,0.0,0.042
497,1,Goto,0.0,-0.378,1.966,0.0,0.042
498,0,Goto,0.0,0.353,1.015,0.0,0.042
498,1,Goto,0.0,-0.353,1.985,0.0,0.042
499,0,Goto,0.0,0.327,0.997,0.0,0.042
499,1,Goto,0.0,-0.327,2.003,0.0,0.042
500,0,Goto,0.0,0.3,0.98,0.0,0.042
500,1,Goto,0.0,-0.3,2.02,0.0,0.042
501,0,Goto,0.0,0.272,0.965,0.0,0.042
501,1,Goto,0.0,-0.272,2.035,0.0,0.042
502,0,Goto,0.0,0.244,0.952,0.0,0.042
502,1,Goto,0.0,-0.244,2.048,0.0,0.042
503,0,Goto,0.0,0.215,0.94,0.0,0.042
503,1,Goto,0.0,-0.215,2.06,0.0,0.042
504,0,Goto,0.0,0.185,0.929,0.0,0.042
504,1,Goto,0.0,-0.185,2.071,0.0,0.042
505,0,Goto,0.0,0.155,0.92,0.0,0.042
505,1,Goto,0.0,-0.155,2.08,0.0,0.042
506,0,Goto,0.0,0.125,0.913,0.0,0.042
506,1,Goto,0.0,-0.125,2.087,0.0,0.042
507,0,Goto,0.0,0.094,0.907,0.0,0.042
507,1,Goto,0.0,-0.094,2.093,0.0,0.042
508,0,Goto,0.0,0.063,0.903,0.0,0.042
508,1,Goto,0.0,-0.063,2.097,0.0,0.042
509,0,Goto,0.0,0.031,0.901,0.0,0.042
509,1,Goto,0.0,-0.031,2.099,0.0,0.042
510,0,Goto,0.0,0.0,0.9,0.0,0.042
510,1,Goto,0.0,0.0,2.1,0.0,0.042
511,0,Goto,0.0,-0.031,0.901,0.0,0.042
511,1,Goto,0.0,0.031,2.099,0.0,0.042
512,0,Goto,0.0,-0.063,0.903,0.0,0.042
512,1,Goto,0.0,0.063,2.097,0.0,0.042
513,0,Goto,0.0,-0.094,0.907,0.0,0.042
513,1,Goto,0.0,0.094,2.093,0.0,0.042
514,0,Goto,0.0,-0.125,0.913,0.0,0.042
514,1,Goto,0.0,0.125,2.087,0.0,0.042
515,0,Goto,0.0,-0.155,0.92,0.0,0.042
515,1,Goto,0.0,0.155,2.08,0.0,0.042
516,0,Goto,0.0,-0.185,0.929,0.0,0.042
516,1,Goto,0.0,0.185,2.071,0.0,0.042
517,0,Goto,0.0,-0.215,0.94,0.0,0.042
517,1,Goto,0.0,0.215,2.06,0.0,0.042
518,0,Goto,0.0,-0.244,0.952,0.0,0.042
518,1,Goto,0.0,0.244,2.048,0.0,0.042
519,0,Goto,0.0,-0.272,0.965,0.0,0.042
519,1,Goto,0.0,0.272,2.035,0.0,0.042
520,0,Goto,0.0,-0.3,0.98,0.0,0.042
520,1,Goto,0.0,0.3,2.02,0.0,0.042
521,0,Goto,0.0,-0.327,0.997,0.0,0.042
521,1,Goto,0.0,0.327,2.003,0.0,0.042
522,0,Goto,0.0,-0.353,1.015,0.0,0.042
522,1,Goto,0.0,0.353,1.985,0.0,0.042
523,0,Goto,0.0,-0.378,1.034,0.0,0.042
523,1,Goto,0.0,0.378,1.966,0.0,0.042
524,0,Goto,0.0,-0.401,1.054,0.0,0.042
524,1,Goto,0.0,0.401,1.946,0.0,0.042
525,0,Goto,0.0,-0.424,1.076,0.0,0.042
525,1,Goto,0.0,0.424,1.924,0.0,0.042
526,0,Goto,0.0,-0.446,1.099,0.0,0.042
526,1,Goto,0.0,0.446,1.901,0.0,0.042
527,0,Goto,0.0,-0.466,1.122,0.0,0.042
527,1,Goto,0.0,0.466,1.878,0.0,0.042
528,0,Goto,0.0,-0.485,1.147,0.0,0.042
528,1,Goto,0.0,0.485,1.853,0.0,0.042
529,0,Goto,0.0,-0.503,1.173,0.0,0.042
529,1,Goto,0.0,0.503,1.827,0.0,0.042
530,0,Goto,0.0,-0.52,1.2,0.0,0.042
530,1,Goto,0.0,0.52,1.8,0.0,0.042
531,0,Goto,0.0,-0.535,1.228,0.0,0.042
531,1,Goto,0.0,0.535,1.772,0.0,0.042
532,0,Goto,0.0,-0.548,1.256,0.0,0.042
532,1,Goto,0.0,0.548,1.744,0.0,0.042
533,0,Goto,0.0,-0.56,1.285,0.0,0.042
533,1,Goto,0.0,0.56,1.715,0.0,0.042
534,0,Goto,0.0,-0.571,1.315,0.0,0.042
534,1,Goto,0.0,0.571,1.685,0.0,0.042
535,0,Goto,0.0,-0.58,1.345,0.0,0.042
535,1,Goto,0.0,0.58,1.655,0.0,0.042
536,0,Goto,0.0,-0.587,1.375,0.0,0.042
536,1,Goto,0.0,0.587,1.625,0.0,0.042
537,0,Goto,0.0,-0.593,1.406,0.0,0.042
537,1,Goto,0.0,0.593,1.594,0.0,0.042
538,0,Goto,0.0,-0.597,1.437,0.0,0.042
538,1,Goto,0.0,0.597,1.563,0.0,0.042
539,0,Goto,0.0,-0.599,1.469,0.0,0.042
539,1,Goto,0.0,0.599,1.531,0.0,0.042
540,0,Goto,0.0,-0.6,1.5,0.0,0.042
540,1,Goto,0.0,0.6,1.5,0.0,0.042
541,0,Goto,0.0,-0.599,1.531,0.0,0.042
541,1,Goto,0.0,0.599,1.469,0.0,0.042
542,0,Goto,0.0,-0.597,1.563,0.0,0.042
542,1,Goto,0.0,0.597,1.437,0.0,0.042
543,0,Goto,0.0,-0.593,1.594,0.0,0.042
543,1,Goto,0.0,0.593,1.406,0.0,0.042
544,0,Goto,0.0,-0.587,1.625,0.0,0.042
544,1,Goto,0.0,0.587,1.375,0.0,0.042
545,0,Goto,0.0,-0.58,1.655,0.0,0.042
545,1,Goto,0.0,0.58,1.345,0.0,0.042
546,0,Goto,0.0,-0.571,1.685,0.0,0.042
546,1,Goto,0.0,0.571,1.315,0.0,0.042
547,0,Goto,0.0,-0.56,1.715,0.0,0.042
547,1,Goto,0.0,0.56,1.285,0.0,0.042
548,0,Goto,0.0,-0.548,1.744,0.0,0.042
548,1,Goto,0.0,0.548,1.256,0.0,0.042
549,0,Goto,0.0,-0.535,1.772,0.0,0.042
549,1,Goto,0.0,0.535,1.228,0.0,0.042
550,0,Goto,0.0,-0.52,1.8,0.0,0.042
550,1,Goto,0.0,0.52,1.2,0.0,0.042
551,0,Goto,0.0,-0.503,1.827,0.0,0.042
551,1,Goto,0.0,0.503,1.173,0.0,0.042
552,0,Goto,0.0,-0.485,1.853,0.0,0.042
552,1,Goto,0.0,0.485,1.147,0.0,0.042
553,0,Goto,0.0,-0.466,1.878,0.0,0.042
553,1,Goto,0.0,0.466,1.122,0.0,0.042
554,0,Goto,0.0,-0.446,1.901,0.0,0.042
554,1,Goto,0.0,0.446,1.099,0.0,0.042
555,0,Goto,0.0,-0.424,1.924,0.0,0.042
555,1,Goto,0.0,0.424,1.076,0.0,0.042
556,0,Goto,0.0,-0.401,1.946,0.0,0.042
556,1,Goto,0.0,0.401,1.054,0.0,0.042
557,0,Goto,0.0,-0.378,1.966,0.0,0.042
557,1,Goto,0.0,0.378,1.034,0.0,0.042
558,0,Goto,0.0,-0.353,1.985,0.0,0.042
558,1,Goto,0.0,0.353,1.015,0.0,0.042
559,0,Goto,0.0,-0.327,2.003,0.0,0.042
559,1,Goto,0.0,0.327,0.997,0.0,0.042
560,0,Goto,0.0,-0.3,2.02,0.0,0.042
560,1,Goto,0.0,0.3,0.98,0.0,0.042
561,0,Goto,0.0,-0.272,2.035,0.0,0.042
561,1,Goto,0.0,0.272,0.965,0.0,0.042
562,0,Goto,0.0,-0.244,2.048,0.0,0.042
562,1,Goto,0.0,0.244,0.952,0.0,0.042
563,0,Goto,0.0,-0.215,2.06,0.0,0.042
563,1,Goto,0.0,0.215,0.94,0.0,0.042
564,0,Goto,0.0,-0.185,2.071,0.0,0.042
564,1,Goto,0.0,0.185,0.929,0.0,0.042
565,0,Goto,0.0,-0.155,2.08,0.0,0.042
565,1,Goto,0.0,0.155,0.92,0.0,0.042
566,0,Goto,0.0,-0.125,2.087,0.0,0.042
566,1,Goto,0.0,0.125,0.913,0.0,0.042
567,0,Goto,0.0,-0.094,2.093,0.0,0.042
567,1,Goto,0.0,0.094,0.907,0.0,0.042
568,0,Goto,0.0,-0.063,2.097,0.0,0.042
568,1,Goto,0.0,0.063,0.903,0.0,0.042
569,0,Goto,0.0,-0.031,2.099,0.0,0.042
569,1,Goto,0.0,0.031,0.901,0.0,0.042
570,0,Goto,0.0,0.0,2.1,0.0,0.042
570,1,Goto,0.0,0.0,0.9,0.0,0.042
571,0,Goto,0.0,0.031,2.099,0.0,0.042
571,1,Goto,0.0,-0.031,0.901,0.0,0.042
572,0,Goto,0.0,0.063,2.097,0.0,0.042
572,1,Goto,0.0,-0.063,0.903,0.0,0.042
573,0,Goto,0.0,0.094,2.093,0.0,0.042
573,1,Goto,0.0,-0.094,0.907,0.0,0.042
574,0,Goto,0.0,0.125,2.087,0.0,0.042
574,1,Goto,0.0,-0.125,0.913,0.0,0.042
575,0,Goto,0.0,0.155,2.08,0.0,0.042
575,1,Goto,0.0,-0.155,0.92,0.0,0.042
576,0,Goto,0.0,0.185,2.071,0.0,0.042
576,1,Goto,0.0,-0.185,0.929,0.0,0.042
577,0,Goto,0.0,0.215,2.06,0.0,0.042
577,1,Goto,0.0,-0.215,0.94,0.0,0.042
578,0,Goto,0.0,0.244,2.048,0.0,0.042
578,1,Goto,0.0,-0.244,0.952,0.0,0.042
579,0,Goto,0.0,0.272,2.035,0.0,0.042
579,1,Goto,0.0,-0.272,0.965,0.0,0.042
580,0,Goto,0.0,0.3,2.02,0.0,0.042
580,1,Goto,0.0,-0.3,0.98,0.0,0.042
581,0,Goto,0.0,0.327,2.003,0.0,0.042
581,1,Goto,0.0,-0.327,0.997,0.0,0.042
582,0,Goto,0.0,0.353,1.985,0.0,0.042
582,1,Goto,0.0,-0.353,1.015,0.0,0.042
583,0,Goto,0.0,0.378,1.966,0.0,0.042
583,1,Goto,0.0,-0.378,1.034,0.0,0.042
584,0,Goto,0.0,0.401,1.946,0.0,0.042
584,1,Goto,0.0,-0.401,1.054,0.0,0.042
585,0,Goto,0.0,0.424,1.924,0.0,0.042
585,1,Goto,0.0,-0.424,1.076,0.0,0.042
586,0,Goto,0.0,0.446,1.901,0.0,0.042
586,1,Goto,0.0,-0.446,1.099,0.0,0.042
587,0,Goto,0.0,0.466,1.878,0.0,0.042
587,1,Goto,0.0,-0.466,1.122,0.0,0.042
588,0,Goto,0.0,0.485,1.853,0.0,0.042
588,1,Goto,0.0,-0.485,1.147,0.0,0.042
589,0,Goto,0.0,0.503,1.827,0.0,0.042
589,1,Goto,0.0,-0.503,1.173,0.0,0.042
590,0,Goto,0.0,0.52,1.8,0.0,0.042
590,1,Goto,0.0,-0.52,1.2,0.0,0.042
591,0,Goto,0.0,0.535,1.772,0.0,0.042
591,1,Goto,0.0,-0.535,1.228,0.0,0.042
592,0,Goto,0.0,0.548,1.744,0.0,0.042
592,1,Goto,0.0,-0.548,1.256,0.0,0.042
593,0,Goto,0.0,0.56,1.715,0.0,0.042
593,1,Goto,0.0,-0.56,1.285,0.0,0.042
594,0,Goto,0.0,0.571,1.685,0.0,0.042
594,1,Goto,0.0,-0.571,1.315,0.0,0.042
595,0,Goto,0.0,0.58,1.655,0.0,0.042
595,1,Goto,0.0,-0.58,1.345,0.0,0.042
596,0,Goto,0.0,0.587,1.625,0.0,0.042
596,1,Goto,0.0,-0.587,1.375,0.0,0.042
597,0,Goto,0.0,0.593,1.594,0.0,0.042
597,1,Goto,0.0,-0.593,1.406,0.0,0.042
598,0,Goto,0.0,0.597,1.563,0.0,0.042
598,1,Goto,0.0,-0.597,1.437,0.0,0.042
599,0,Goto,0.0,0.599,1.531,0.0,0.042
599,1,Goto,0.0,-0.599,1.469,0.0,0.042
600,0,Goto,0.0,0.6,1.5,0.0,0.042
600,1,Goto,0.0,-0.6,1.5,0.0,0.042
601,0,Land,0.0,0.6,0.0,0.0,2.0
601,1,Land,0.0,-0.6,0.0,0.0,2.0
