Step,Id,Command,X-R-L,Y-G,Z-B,Yaw-Intensity,Duration
0,0,Takeof,0.0,0.3,1.0,0.0,2.0
0,1,Takeof,0.26,-0.15,1.0,0.0,2.0
0,2,Takeof,-0.26,-0.15,1.0,0.0,2.0
1,1,Goto,0.26,-0.15,1.0,0.0,0.042
1,0,Goto,0.0,0.3,1.0,0.0,0.042
1,2,Goto,-0.26,-0.15,1.0,0.0,0.042
2,1,Goto,0.267,-0.136,1.0,0.0,0.042
2,0,Goto,-0.016,0.3,1.0,0.0,0.042
2,2,Goto,-0.252,-0.163,1.0,0.0,0.042
3,1,Goto,0.274,-0.122,1.0,0.0,0.042
3,0,Goto,-0.031,0.298,1.0,0.0,0.042
3,2,Goto,-0.243,-0.176,1.0,0.0,0.042
4,1,Goto,0.28,-0.108,1.0,0.0,0.042
4,0,Goto,-0.047,0.296,1.0,0.0,0.042
4,2,Goto,-0.233,-0.189,1.0,0.0,0.042
5,1,Goto,0.285,-0.093,1.0,0.0,0.042
5,0,Goto,-0.062,0.293,1.0,0.0,0.042
5,2,Goto,-0.223,-0.201,1.0,0.0,0.042
6,1,Goto,0.29,-0.078,1.0,0.0,0.042
6,0,Goto,-0.078,0.29,1.0,0.0,0.042
6,2,Goto,-0.212,-0.212,1.0,0.0,0.042
7,1,Goto,0.293,-0.062,1.0,0.0,0.042
7,0,Goto,-0.093,0.285,1.0,0.0,0.042
7,2,Goto,-0.201,-0.223,1.0,0.0,0.042
8,1,Goto,0.296,-0.047,1.0,0.0,0.042
8,0,Goto,-0.108,0.28,1.0,0.0,0.042
8,2,Goto,-0.189,-0.233,1.0,0.0,0.042
9,1,Goto,0.298,-0.031,1.0,0.0,0.042
9,0,Goto,-0.122,0.274,1.0,0.0,0.042
9,2,Goto,-0.176,-0.243,1.0,0.0,0.042
10,1,Goto,0.3,-0.016,1.0,0.0,0.042
10,0,Goto,-0.136,0.267,1.0,0.0,0.042
10,2,Goto,-0.163,-0.252,1.0,0.0,0.042
11,1,Goto,0.3,0.0,1.0,0.0,0.042
11,0,Goto,-0.15,0.26,1.0,0.0,0.042
11,2,Goto,-0.15,-0.26,1.0,0.0,0.042
12,1,Goto,0.3,0.016,1.0,0.0,0.042
12,0,Goto,-0.163,0.252,1.0,0.0,0.042
12,2,Goto,-0.136,-0.267,1.0,0.0,0.042
13,1,Goto,0.298,0.031,1.0,0.0,0.042
13,0,Goto,-0.176,0.243,1.0,0.0,0.042
13,2,Goto,-0.122,-0.274,1.0,0.0,0.042
14,1,Goto,0.296,0.047,1.0,0.0,0.042
14,0,Goto,-0.189,0.233,1.0,0.0,0.042
14,2,Goto,-0.108,-0.28,1.0,0.0,0.042
15,1,Goto,0.293,0.062,1.0,0.0,0.042
15,0,Goto,-0.201,0.223,1.0,0.0,0.042
15,2,Goto,-0.093,-0.285,1.0,0.0,0.042
16,1,Goto,0.29,0.078,1.0,0.0,0.042
16,0,Goto,-0.212,0.212,1.0,0.0,0.042
16,2,Goto,-0.078,-0.29,1.0,0.0,0.042
17,1,Goto,0.285,0.093,1.0,0.0,0.042
17,0,Goto,-0.223,0.201,1.0,0.0,0.042
17,2,Goto,-0.062,-0.293,1.0,0.0,0.042
18,1,Goto,0.28,0.108,1.0,0.0,0.042
